project_short_name,deployment_id,subproject,site_id,data_type,state,county,longitude,latitude,date_installed,start_date,deployment_start_time,end_date,deployment_end_time,frequency,duration,gain,filter_type_khz,aru_status,aru_make,aru_model,aru_microphone,aru_container,mounted_on,mic_height_agl_m,recorded_by,habitat,additional_habitat_description,bird_net_settings,conf_threshold,processed_by,notes,audio_moth_id,compass_bearing,deployment_notes,processing_comments,manually_vetted,uploaded_to_soundhub,subproject_design,filter_type_duration,filter_type_amplitude,feature_type,feature_type_details
CEMAF Acoustics,SAHE1_2023,2023,SAHE1,BD,CA,Nevada,-120.2804,39.4308,6/12/2023,6/14/2023,0:00:00,6/21/2023,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"RP,MT,KM","edge,forest,shrubland",Edge of forest and shrub meadow,NA,NA,NA,NA,AM0001,353,NA,NA,NA,Processed-Allison (Matt reviewed),We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE2_2023,2023,SAHE2,BD,CA,Nevada,-120.2765,39.4338,6/12/2023,6/14/2023,0:00:00,6/21/2023,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"KM,RP,MT",forest,In mule ear meadow on terrace knoll,NA,NA,NA,"Missing file for 20240616_000000_birdnet,  issue of some recordings cutting to other recording segments (between evening and morning recordings?), especially in long recording on 6/17",AM0423,245,NA,NA,NA,Processed-Matt,We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE3_2023,2023,SAHE3,BD,CA,Nevada,-120.2861,39.4311,6/12/2023,6/14/2023,0:00:00,6/21/2023,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"KM,RP,MT",forest,NA,NA,NA,NA,Error in code; recordings make weird crackling sound--no data,AM0422,52,NA,NA,NA,recordings make weird crackling sound--no data,We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE4_2023,2023,SAHE4,BD,CA,Nevada,-120.2756,39.4306,6/13/2023,6/14/2023,0:00:00,6/21/2023,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"MT,KM,RP","forest,edge,shrubland",On a rocky outcrop slope on the edge of the forest.,NA,NA,NA,NA,AM0070,41,Next to the drift fence pointing towards opening between trees.,NA,NA,Processed-Allison (Matt reviewed),We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE1_2024,2024,SAHE1,BD,CA,Nevada,-120.2804,39.4308,6/12/2024,6/14/2024,0:00:00,6/21/2024,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"RP,MT,KM","edge,forest,shrubland",Edge of forest and shrub meadow,NA,NA,NA,NA,AM0001,353,NA,NA,NA,Processed-Allison (Matt reviewed),We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE2_2024,2024,SAHE2,BD,CA,Nevada,-120.2765,39.4338,6/12/2024,6/14/2024,0:00:00,6/21/2024,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"KM,RP,MT",forest,In mule ear meadow on terrace knoll,NA,NA,NA,"Missing file for 20240616_000000_birdnet,  issue of some recordings cutting to other recording segments (between evening and morning recordings?), especially in long recording on 6/17",AM0423,245,NA,NA,NA,Processed-Matt,We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE3_2024,2024,SAHE3,BD,CA,Nevada,-120.2862,39.4311,6/12/2024,6/14/2024,0:00:00,6/21/2024,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"KM,RP,MT",forest,NA,NA,NA,NA,Error in code; recordings make weird crackling sound--no data,AM0422,52,NA,NA,NA,recordings make weird crackling sound--no data,We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE4_2024,2024,SAHE4,BD,CA,Nevada,-120.2756,39.4306,6/13/2024,6/14/2024,0:00:00,6/21/2024,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"MT,KM,RP","forest,edge,shrubland",On a rocky outcrop slope on the edge of the forest.,NA,NA,NA,NA,AM0070,41,Next to the drift fence pointing towards opening between trees.,NA,NA,Processed-Allison (Matt reviewed),We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE1_2025,2025,SAHE1,BD,CA,Nevada,-120.2804,39.4308,6/12/2024,6/14/2025,0:00:00,6/21/2025,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"RP,MT,KM","edge,forest,shrubland",Edge of forest and shrub meadow,NA,NA,NA,NA,AM0001,353,NA,NA,NA,Processed-Allison (Matt reviewed),We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE2_2025,2025,SAHE2,BD,CA,Nevada,-120.2765,39.4338,6/12/2024,6/14/2025,0:00:00,6/21/2025,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"KM,RP,MT",forest,In mule ear meadow on terrace knoll,NA,NA,NA,"Missing file for 20240616_000000_birdnet,  issue of some recordings cutting to other recording segments (between evening and morning recordings?), especially in long recording on 6/17",AM0423,245,NA,NA,NA,Processed-Matt,We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE3_2025,2025,SAHE3,BD,CA,Nevada,-120.2862,39.4311,6/12/2024,6/14/2025,0:00:00,6/21/2025,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"KM,RP,MT",forest,NA,NA,NA,NA,Error in code; recordings make weird crackling sound--no data,AM0422,52,NA,NA,NA,recordings make weird crackling sound--no data,We created subprojects for each sampling year,NA,NA,None,NA
CEMAF Acoustics,SAHE4_2025,2025,SAHE4,BD,CA,Nevada,-120.2756,39.4306,6/13/2024,6/14/2025,0:00:00,6/21/2025,23:59:00,Daily,Continuously,"high, 5",48,Functioning,AudioMoth,v1.1.0,Internal,Small polybag,Metal pole,1.5,"MT,KM,RP","forest,edge,shrubland",On a rocky outcrop slope on the edge of the forest.,NA,NA,NA,NA,AM0070,41,Next to the drift fence pointing towards opening between trees.,NA,NA,Processed-Allison (Matt reviewed),We created subprojects for each sampling year,NA,NA,None,NA
